_id,usuario_id,restaurante_id,pedido_id,tipo,nota,comentario,data_avaliacao,curtidas,status,itens_avaliados[0].prato_id,itens_avaliados[1].prato_id,itens_avaliados[2].prato_id,itens_avaliados[3].prato_id,itens_avaliados[4].prato_id,itens_avaliados[0].nome,itens_avaliados[1].nome,itens_avaliados[2].nome,itens_avaliados[3].nome,itens_avaliados[4].nome,itens_avaliados[0].nota,itens_avaliados[1].nota,itens_avaliados[2].nota,itens_avaliados[3].nota,itens_avaliados[4].nota,itens_avaliados[0].comentario,itens_avaliados[1].comentario,itens_avaliados[2].comentario,itens_avaliados[3].comentario,itens_avaliados[4].comentario,categorias_avaliadas.comida,categorias_avaliadas.atendimento,categorias_avaliadas.entrega,categorias_avaliadas.custo_beneficio,fotos[0]
683d8d06c709d34c0311ee0d,683d8d05c709d34c0311e2df,683d8d05c709d34c0311e48e,683d8d06c709d34c0311e88f,restaurante,1,Totus timor theca tenax tertius. Iste tribuo cohaero sit. Colligo amiculum demum sortitus.,2025-01-31T13:50:44.877Z,47,aprovada,683d8d05c709d34c0311e670,683d8d05c709d34c0311e674,683d8d05c709d34c0311e67d,683d8d05c709d34c0311e67c,683d8d05c709d34c0311e683,Recycled Concrete Chips,Unbranded Rubber Cheese,Intelligent Steel Ball,Fantastic Cotton Sausages,Recycled Wooden Mouse,3,3,2,1,3,Viriliter aliquid curto termes crapula solium vallum.,Desidero conturbo thalassinus terra acsi.,Ipsum aequus cura tristis defaeco nihil cogito coniecto antepono.,Constans porro bardus caecus depromo.,Apparatus sophismata acervus curtus cultellus cernuus turbo summopere cognatus adulescens.,5,1,2,4,
683d8d06c709d34c0311ee0e,683d8d05c709d34c0311e3fb,683d8d05c709d34c0311e477,683d8d06c709d34c0311eba4,restaurante,4,Eum barba confero degenero textor venia demoror cenaculum tactus. Acervus cogito videlicet. Ea spiritus abundans depereo decipio.,2024-08-14T21:37:12.025Z,21,aprovada,683d8d05c709d34c0311e4dd,,,,,Ergonomic Marble Keyboard,,,,,5,,,,,Aiunt distinctio trepide soleo culpa benigne conservo sublime.,,,,,1,2,4,3,
683d8d06c709d34c0311ee11,683d8d05c709d34c0311e3a3,683d8d05c709d34c0311e478,683d8d06c709d34c0311eb3b,restaurante,1,Nisi verbera caelestis. Depraedor animus tubineus succedo demergo theca vito pel cultura. Correptius thesaurus strues assumenda dicta comes ascisco.,2024-09-19T17:01:11.553Z,22,aprovada,683d8d05c709d34c0311e4e8,683d8d05c709d34c0311e4ea,683d8d05c709d34c0311e4ed,683d8d05c709d34c0311e4f1,683d8d05c709d34c0311e4e7,Refined Rubber Fish,Practical Bamboo Car,Electronic Wooden Table,Awesome Plastic Mouse,Bespoke Wooden Soap,3,2,4,2,5,Adipisci vobis utor stella.,Adflicto spargo statim cicuta capillus spero arbitro audeo varietas.,Capillus confugo cupressus ad aurum causa aliqua sursum certus.,Canis cui cariosus nam alias depromo peior acidus alter consuasor.,Deporto maxime capio contego cultura corona.,3,4,2,3,
683d8d06c709d34c0311ee12,683d8d05c709d34c0311e2f7,683d8d05c709d34c0311e48c,683d8d06c709d34c0311eae0,restaurante,1,Abeo sursum caveo verus. Anser cribro pectus cibo baiulus aestas corporis praesentium. Decens valens adsum.,2024-07-04T23:42:29.562Z,2,aprovada,,,,,,,,,,,,,,,,,,,,,1,5,4,2,
683d8d06c709d34c0311ee1d,683d8d05c709d34c0311e323,683d8d05c709d34c0311e499,683d8d06c709d34c0311e8b4,restaurante,2,Decens victoria quasi corporis thesis bis sono viriliter tabgo. Ter capitulus cervus necessitatibus pecto canto trans laudantium alienus acquiro. Ciminatio tardus conscendo vereor paulatim quis abstergo.,2025-03-03T00:05:37.571Z,32,aprovada,683d8d05c709d34c0311e746,683d8d05c709d34c0311e743,683d8d05c709d34c0311e74e,683d8d05c709d34c0311e74c,,Fantastic Bamboo Mouse,Small Rubber Pizza,Sleek Granite Fish,Refined Rubber Chips,,4,2,2,4,,Suggero placeat peior.,Sublime aranea subnecto armarium demitto derelinquo angustus doloremque.,Solus aro torqueo vigilo conforto.,Optio ea vergo aptus tametsi bellum agnosco caste.,,2,4,2,2,
683d8d06c709d34c0311ee21,683d8d05c709d34c0311e3f6,683d8d05c709d34c0311e47c,683d8d06c709d34c0311ea74,restaurante,3,Qui vinum aequus animus debeo. Cicuta paens aduro atrox aegrotatio virga. Vigor compono aperiam certe patior amplitudo taedium degero.,2024-11-17T01:56:04.467Z,2,aprovada,683d8d05c709d34c0311e53f,,,,,Luxurious Silk Pizza,,,,,3,,,,,Corroboro omnis crustulum arceo canto cubicularis cribro abstergo patrocinor.,,,,,2,2,4,2,
683d8d06c709d34c0311ee29,683d8d05c709d34c0311e40a,683d8d05c709d34c0311e47e,683d8d06c709d34c0311e929,restaurante,4,Inventore eos atqui excepturi una cras bestia anser teres arceo. Ducimus alienus utrimque demoror. Denuo adamo virtus harum totidem.,2024-06-10T09:03:13.835Z,18,aprovada,683d8d05c709d34c0311e55f,683d8d05c709d34c0311e568,683d8d05c709d34c0311e565,,,Elegant Steel Bike,Fantastic Rubber Tuna,Electronic Metal Salad,,,4,5,5,,,Trepide cursus balbus sodalitas maxime sol capitulus depopulo.,Thorax non tempore vitae autem quaerat caelum.,Magni adinventitias vere tabgo votum cenaculum repellat amita desipio apostolus.,,,5,5,3,5,
683d8d06c709d34c0311ee2c,683d8d05c709d34c0311e392,683d8d05c709d34c0311e492,683d8d06c709d34c0311e90e,restaurante,1,Sulum unus dens adsidue vulgus talio thalassinus colligo vesco appello. Deludo dolor nihil caute cimentarius paens. Apto aeternus compono tamdiu bis colo vulnero altus trans.,2025-04-10T21:39:40.785Z,38,aprovada,683d8d05c709d34c0311e6bf,683d8d05c709d34c0311e6cc,683d8d05c709d34c0311e6cd,,,Modern Silk Fish,Incredible Rubber Shoes,Generic Gold Bike,,,1,4,1,,,Ullus ante clementia amplexus carpo.,Autus calamitas animus doloremque ambitus ipsum suffoco caste carpo.,Curia vaco confero crastinus blandior denique speciosus aspicio vado.,,,4,4,5,4,
683d8d06c709d34c0311ee32,683d8d05c709d34c0311e396,683d8d05c709d34c0311e4a5,683d8d06c709d34c0311ed8f,restaurante,2,Eius validus avarus admoveo saepe arbor comparo currus delectatio. Viridis cado accusantium allatus cumque. Armarium soleo solutio velut cultura tener excepturi abundans tergeo.,2024-12-07T00:50:28.933Z,5,aprovada,683d8d06c709d34c0311e7f4,683d8d06c709d34c0311e7f9,,,,Elegant Rubber Table,Fresh Cotton Tuna,,,,1,5,,,,Id appono coniecto dapifer spiritus theatrum aequitas comedo.,Vitiosus compello bos bellicus desipio tego cavus atavus acies.,,,,1,2,3,4,
683d8d06c709d34c0311ee38,683d8d05c709d34c0311e32c,683d8d05c709d34c0311e49a,683d8d06c709d34c0311e909,restaurante,4,Autem coadunatio vere somnus vulgo sophismata placeat uter. Aestivus repellat auctor paulatim fugiat amita suscipit creo vomica curatio. Cura ventus tristis tenax cariosus bellum adamo tamen.,2025-03-19T09:25:24.081Z,1,aprovada,683d8d05c709d34c0311e75b,,,,,Luxurious Bronze Mouse,,,,,2,,,,,Illo canonicus creptio virtus labore studio suscipit supra.,,,,,5,4,2,5,
