_id,nome,descricao,categorias[0],categorias[1],categorias[2],faixa_preco,endereco.rua,endereco.numero,endereco.bairro,endereco.cidade,endereco.estado,endereco.cep,endereco.coordenadas[0],endereco.coordenadas[1],contato.telefone,contato.email,contato.site,horario_funcionamento[0].dia,horario_funcionamento[1].dia,horario_funcionamento[2].dia,horario_funcionamento[3].dia,horario_funcionamento[4].dia,horario_funcionamento[5].dia,horario_funcionamento[6].dia,horario_funcionamento[0].abertura,horario_funcionamento[1].abertura,horario_funcionamento[2].abertura,horario_funcionamento[3].abertura,horario_funcionamento[4].abertura,horario_funcionamento[5].abertura,horario_funcionamento[6].abertura,horario_funcionamento[0].fechamento,horario_funcionamento[1].fechamento,horario_funcionamento[2].fechamento,horario_funcionamento[3].fechamento,horario_funcionamento[4].fechamento,horario_funcionamento[5].fechamento,horario_funcionamento[6].fechamento,horario_funcionamento[0].fechado,horario_funcionamento[1].fechado,horario_funcionamento[2].fechado,horario_funcionamento[3].fechado,horario_funcionamento[4].fechado,horario_funcionamento[5].fechado,horario_funcionamento[6].fechado,fotos[0],fotos[1],avaliacao_media,total_avaliacoes,tempo_entrega_estimado.minimo,tempo_entrega_estimado.maximo,taxa_entrega,proprietario_id,data_cadastro,ultima_atualizacao,status,destaque
683d8d05c709d34c0311e479,Mueller - O'Keefe Bistrô,Arceo desino capitulus.,Indiana,Vegetariana,,$$,Main Street S,76744,Warwickshire,South Taurean,AR,63662-859,88.3381,15.9805,1-476-734-4474 x66253,mallie_crona@gmail.com,https://portly-cleaner.name/,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,false,https://loremflickr.com/2655/1842/food?lock=134842761606481,https://loremflickr.com/3220/1318/restaurant?lock=339611430762648,2.8801620683191205,535,26,61,8.84049318476563,683d8d05c709d34c0311e2d1,2024-10-25T13:19:51.527Z,2025-03-30T04:11:34.308Z,ativo,false
683d8d05c709d34c0311e47e,O'Hara and Sons Cantina,Derideo deprecator denuo terminatio iste curvo.,Italiana,Árabe,,$$$$,W 6th Street,996,Hertfordshire,East Orange,NC,91340-364,-71.0871,59.6146,489-429-8223 x188,penelope_kuphal@gmail.com,https://critical-shipper.biz,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,false,https://loremflickr.com/1062/296/food?lock=837389659828377,https://loremflickr.com/1052/3970/restaurant?lock=1222366282462745,3.1758287353970975,85,40,57,7.5470546697957905,683d8d05c709d34c0311e448,2023-09-18T12:05:36.273Z,2025-02-21T10:55:39.010Z,ativo,true
683d8d05c709d34c0311e47f,"Borer, Wiza and Hahn Bistrô",Ager villa collum vitiosus.,Pizzaria,,,$$,The Limes,57343,Adams County,Cliftonfort,HI,74131-692,2.8492,-7.6865,723.280.2759 x16638,flossie_davis15@yahoo.com,https://glaring-lace.info/,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,false,https://loremflickr.com/2804/1494/food?lock=6860647562643254,https://loremflickr.com/2289/2232/restaurant?lock=3368098200298302,3.4184903786085763,136,21,54,2.4423319269161405,683d8d05c709d34c0311e3af,2024-09-26T15:40:14.561Z,2025-02-15T14:04:34.355Z,ativo,false
683d8d05c709d34c0311e485,Lemke - Medhurst Cantina,Tumultus tutamen ante error vociferor turbo voro soluta acies constans.,Italiana,Mexicana,Vegetariana,$$,Deckow Village,849,Staffordshire,Guiseppeboro,ID,86352-069,-0.3266,33.8275,1-769-615-7207,elisabeth.rowe@yahoo.com,https://heartfelt-version.biz,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,true,https://loremflickr.com/3495/2568/food?lock=5337671396235906,https://loremflickr.com/2199/1688/restaurant?lock=3586901502457210,2.8419107756107778,545,20,68,9.417447024269801,683d8d05c709d34c0311e313,2024-12-11T11:24:40.005Z,2025-04-14T08:34:58.485Z,ativo,true
683d8d05c709d34c0311e489,Huels - Schowalter Bistrô,Vulnero statua degusto virga ustulo virgo deserunt amicitia adeo.,Árabe,Chinesa,,$$,Columbia Avenue,783,Dyfed,New Herminiaburgh,VT,06716-893,-39.6237,56.0416,(370) 393-4149 x803,freddie_quitzon13@gmail.com,https://long-term-nougat.org/,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,true,false,false,false,false,false,true,https://loremflickr.com/574/3859/food?lock=8096993449465844,https://loremflickr.com/1098/1103/restaurant?lock=432200531795153,4.1794557681888245,883,36,56,13.221759740347467,683d8d05c709d34c0311e401,2022-08-05T06:04:10.535Z,2024-12-08T13:50:42.269Z,ativo,false
683d8d05c709d34c0311e48a,Stoltenberg Inc Grill,Arx ante ulciscor.,Pizzaria,,,$$$$,High Road,508,Lothian,Gavinhaven,MN,86080-915,-56.1921,71.5602,899.352.0961 x688,marc.mosciski93@yahoo.com,https://dutiful-overcoat.biz,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,true,https://loremflickr.com/1102/3050/food?lock=8285615882584392,https://loremflickr.com/3470/3019/restaurant?lock=1764798974961686,2.8504068413810133,930,32,53,9.688376204517908,683d8d05c709d34c0311e471,2024-11-24T20:32:36.965Z,2025-02-23T12:02:28.132Z,ativo,false
683d8d05c709d34c0311e48b,"Rath, Dare and Ferry Sushi Bar",Dedecor uredo attollo.,Brasileira,,,$$,O'Hara Key,15625,Johnson County,East Rowenafield,AK,37402-130,-131.4028,44.1659,(498) 913-3594 x666,zoey.boyer@hotmail.com,https://tender-sport.biz/,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,false,https://loremflickr.com/2434/3256/food?lock=6276566785258105,https://loremflickr.com/3984/865/restaurant?lock=2690390907555600,2.661314300425011,270,38,57,8.610612324492386,683d8d05c709d34c0311e328,2025-02-05T07:53:06.035Z,2025-04-25T01:30:20.443Z,ativo,false
683d8d05c709d34c0311e490,Hodkiewicz - Schoen Restaurante,Arca constans compello.,Mexicana,,,$$$,Poplar Avenue,93143,Lake County,Clevelandcester,CO,10785-200,-79.2583,-6.1099,377.338.9363,stevie_langworth47@hotmail.com,https://uneven-larva.net,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,false,https://loremflickr.com/755/1551/food?lock=1270422309603768,https://loremflickr.com/2761/921/restaurant?lock=8546716433597631,4.082616949540172,630,21,53,6.410300530464545,683d8d05c709d34c0311e38c,2024-01-01T01:00:08.147Z,2025-02-05T09:05:47.204Z,ativo,false
683d8d05c709d34c0311e493,"Hegmann, Kshlerin and Friesen Restaurante",Cito tristis vulnus curvo autus sustineo peior.,Italiana,,,$$$,Garnett Dam,39545,Tayside,Fort Allystad,AZ,28942-547,-179.8744,10.711,594.649.8115 x7972,abigayle_hayes43@hotmail.com,https://sizzling-travel.com,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,true,https://loremflickr.com/3198/3315/food?lock=956467385792090,https://loremflickr.com/1394/161/restaurant?lock=4918394734209151,3.6239157404044984,840,30,59,0.7713441263685861,683d8d05c709d34c0311e3a0,2024-02-09T11:41:42.760Z,2025-04-24T14:29:28.308Z,inativo,true
683d8d05c709d34c0311e495,Gerhold and Sons Sushi Bar,Averto volo bos.,Chinesa,,,$$$,Hand Drive,305,Leicestershire,Lafayette,MN,13478-507,25.8741,76.0196,1-292-891-1231 x3143,alicia50@gmail.com,https://athletic-outset.com/,segunda,terça,quarta,quinta,sexta,sábado,domingo,11:30,11:30,11:30,11:30,11:30,12:00,12:00,22:00,22:00,22:00,23:00,23:30,23:30,21:00,false,false,false,false,false,false,true,https://loremflickr.com/2270/3765/food?lock=2265093564812721,https://loremflickr.com/3132/994/restaurant?lock=8388943653163947,4.143565761839028,403,35,51,12.943813336185626,683d8d05c709d34c0311e416,2022-07-06T05:36:52.175Z,2025-05-21T23:16:38.155Z,ativo,false
