_id,restaurante_id,cardapio_id,nome,descricao,categoria,preco,fotos[0],ingredientes[0],ingredientes[1],ingredientes[2],ingredientes[3],ingredientes[4],ingredientes[5],ingredientes[6],ingredientes[7],informacoes_nutricionais.calorias,informacoes_nutricionais.proteinas,informacoes_nutricionais.carboidratos,informacoes_nutricionais.gorduras,opcoes_dieteticas[0],opcoes_dieteticas[1],destaque,promocao.ativo,promocao.preco_promocional,promocao.validade,disponivel,tempo_preparo,avaliacao_media,total_avaliacoes,data_criacao,ultima_atualizacao,alergenos[0],alergenos[1],alergenos[2]
683d8d05c709d34c0311e4e4,683d8d05c709d34c0311e477,683d8d05c709d34c0311e4a9,Awesome Granite Hat,Attollo tempus testimonium apto. Stultus delinquo confido vicissitudo derideo decipio solum et. Teneo angustus angelus tot viduo fuga error.,Acompanhamento,38.22637952581125,https://loremflickr.com/2453/3818/food?lock=4954995114287987,averto,sum,ulterius,vinitor,capio,quos,antea,,525,47,84,30,vegetariano,sem glúten,false,false,77.9194327121097,2025-06-23T07:33:33.559Z,true,43,3.4870018077007527,67,2023-10-13T03:37:23.189Z,2025-04-20T07:49:43.842Z,,,
683d8d05c709d34c0311e4e5,683d8d05c709d34c0311e477,683d8d05c709d34c0311e4a9,Recycled Bronze Soap,Conor curatio solium barba talio succurro urbs arguo. Peior volva cetera censura patrocinor argentum tristis peior. Tabesco minus earum tam tracto.,Bebida,116.60635759769549,https://loremflickr.com/2913/2804/food?lock=3515271773689077,cur,deludo,tribuo,validus,,,,,260,60,76,69,sem glúten,,false,false,86.18347038845059,2025-08-27T06:25:16.277Z,true,20,4.437247809129065,115,2023-10-05T12:33:38.280Z,2025-04-04T19:32:41.193Z,ovos,,
683d8d05c709d34c0311e4ed,683d8d05c709d34c0311e478,683d8d05c709d34c0311e4aa,Electronic Wooden Table,Atqui iusto conitor corona vigilo valeo ascit certus tego. Suggero ea cognomen teres aro. Conicio mollitia crastinus aptus defluo decor causa decens cena timidus.,Acompanhamento,128.22979859771175,https://loremflickr.com/2898/129/food?lock=5178902245620194,celebrer,suscipit,conor,perspiciatis,commodo,eos,altus,,373,29,98,86,vegetariano,,false,false,42.9687531570848,2025-11-28T08:15:48.628Z,true,14,4.9213202590623615,272,2023-08-13T05:14:24.446Z,2025-03-30T15:22:52.169Z,frutos do mar,soja,
683d8d05c709d34c0311e4ee,683d8d05c709d34c0311e478,683d8d05c709d34c0311e4aa,Ergonomic Aluminum Ball,Amissio unde claudeo talis. Crux ambitus sto verbum. Truculenter pecto vere.,Sobremesa,8.4445890590608,https://loremflickr.com/155/1245/food?lock=6868885177622060,vito,vilicus,aestivus,bellicus,degero,,,,787,62,128,15,sem glúten,vegano,false,false,25.794526094174685,2025-10-12T03:04:16.798Z,true,14,4.709980841481677,154,2024-11-29T02:07:59.241Z,2025-02-07T00:47:57.480Z,,,
683d8d05c709d34c0311e4f3,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Sleek Concrete Tuna,Damno cupiditate carcer. Defluo adhuc demitto truculenter. Appositus aequitas conculco casus.,Sobremesa,96.7695782158943,https://loremflickr.com/1838/2098/food?lock=6466368777265518,hic,tabesco,corporis,ambulo,adamo,pariatur,,,510,69,87,56,,,false,false,33.927884562999395,2025-09-27T16:04:19.033Z,true,27,2.247244421579042,81,2024-08-19T22:44:22.790Z,2025-02-20T07:29:03.348Z,soja,,
683d8d05c709d34c0311e4fb,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Rustic Ceramic Car,Ter collum stillicidium una vesica. Vigor utroque theatrum aqua occaecati vinum sumptus ea in. Aliquam tabernus acer adsidue solus terga.,Entrada,18.290958388852033,https://loremflickr.com/2354/2780/food?lock=4604322186482118,abstergo,unus,quam,,,,,,1018,55,21,15,,,false,false,52.31268736648652,2025-06-10T11:47:22.164Z,true,28,4.74633942178993,211,2024-02-19T17:10:15.961Z,2025-05-15T20:17:01.180Z,frutos do mar,lactose,
683d8d05c709d34c0311e501,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Frozen Metal Hat,Ipsam comes velum minus sequi defluo. Tertius aeger uredo collum aegrus vere utpote defluo paens. Usque cultellus curto provident testimonium aurum absque sui.,Acompanhamento,52.78280328495648,https://loremflickr.com/2307/672/food?lock=1287107000031897,callide,adhaero,tracto,virga,approbo,,,,746,11,57,80,vegano,,false,false,73.96846844429103,2025-07-22T07:16:05.771Z,true,18,3.270494216849233,237,2023-09-15T10:24:21.400Z,2025-03-31T04:03:18.492Z,ovos,glúten,
683d8d05c709d34c0311e503,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Ergonomic Steel Keyboard,Tracto clarus velut claustrum dignissimos ambitus calcar ait. Candidus aperiam caritas alienus. Calco curo currus eaque clarus summisse allatus abeo ceno suppellex.,Acompanhamento,6.054332218868753,https://loremflickr.com/2284/2956/food?lock=4167071455832271,caries,aurum,triduana,cado,velut,delectus,vero,admiratio,238,40,36,87,,,false,false,13.806420587450281,2025-10-19T06:25:29.260Z,true,15,3.0845440432417357,147,2025-06-01T17:37:04.743Z,2025-04-15T15:11:04.824Z,frutos do mar,soja,lactose
683d8d05c709d34c0311e504,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Luxurious Marble Chair,Voluptate artificiose eveniet comprehendo. Coma aptus aer torrens tego. Alias acies confero atrox defendo cito vere cauda attonbitus error.,Acompanhamento,25.08990569012683,https://loremflickr.com/2763/896/food?lock=5742579927244713,talio,addo,error,correptius,,,,,663,45,125,19,vegano,,false,false,102.20977624247294,2025-07-22T07:10:10.838Z,true,31,4.8513586032676015,209,2024-09-28T04:46:17.857Z,2025-03-21T14:19:11.286Z,,,
683d8d05c709d34c0311e507,683d8d05c709d34c0311e479,683d8d05c709d34c0311e4ab,Unbranded Bamboo Chips,Temporibus uxor soluta allatus textor. Ubi turba varietas veniam voluptates adulatio. Cui clam amplitudo.,Acompanhamento,90.85207009485485,https://loremflickr.com/3500/2/food?lock=7807452901418914,audax,quidem,demo,vehemens,,,,,1010,62,43,48,,,false,true,21.84187948380417,2025-06-04T13:00:24.557Z,true,43,2.788518354938485,121,2025-01-23T05:26:59.604Z,2025-03-27T12:29:05.513Z,glúten,amendoim,ovos
